id,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,Mid Level,Full Time,Data Scientist,79833,DE,on_site,DE,L
1,2020,Senior Level,Full Time,Machine Learning Scientist,260000,JP,on_site,JP,S
2,2020,Senior Level,Full Time,Big Data Engineer,109024,GB,partially_remotly,GB,M
3,2020,Mid Level,Full Time,Product Data Analyst,20000,HN,on_site,HN,S
4,2020,Senior Level,Full Time,Machine Learning Engineer,150000,US,partially_remotly,US,L
5,2020,Entry Level,Full Time,Data Analyst,72000,US,fully_remote,US,L
6,2020,Senior Level,Full Time,Lead Data Scientist,190000,US,fully_remote,US,S
7,2020,Mid Level,Full Time,Data Scientist,35735,HU,partially_remotly,HU,L
8,2020,Mid Level,Full Time,BI Data Analyst,135000,US,fully_remote,US,L
9,2020,Senior Level,Full Time,Lead Data Engineer,125000,NZ,partially_remotly,NZ,S
10,2020,Entry Level,Full Time,Data Scientist,51321,FR,on_site,FR,S
11,2020,Mid Level,Full Time,Data Scientist,40481,IN,on_site,IN,L
12,2020,Entry Level,Full Time,Data Scientist,39916,FR,on_site,FR,M
13,2020,Mid Level,Full Time,Lead Data Analyst,87000,US,fully_remote,US,L
14,2020,Mid Level,Full Time,Data Analyst,85000,US,fully_remote,US,L
15,2020,Mid Level,Full Time,Data Analyst,8000,PK,partially_remotly,PK,L
16,2020,Entry Level,Full Time,Data Engineer,41689,JP,fully_remote,JP,S
17,2020,Senior Level,Full Time,Big Data Engineer,114047,PL,fully_remote,GB,S
18,2020,Entry Level,Full Time,Data Science Consultant,5707,IN,partially_remotly,IN,M
19,2020,Mid Level,Full Time,Lead Data Engineer,56000,PT,fully_remote,US,M
20,2020,Mid Level,Full Time,Machine Learning Engineer,43331,CN,on_site,CN,M
21,2020,Mid Level,Full Time,Product Data Analyst,6072,IN,fully_remote,IN,L
22,2020,Senior Level,Full Time,Data Engineer,47899,GR,partially_remotly,GR,L
23,2020,Mid Level,Full Time,BI Data Analyst,98000,US,on_site,US,M
24,2020,Mid Level,Full Time,Lead Data Scientist,115000,AE,on_site,AE,L
25,2020,Expert Level,Full Time,Director of Data Science,325000,US,fully_remote,US,L
26,2020,Entry Level,Full Time,Research Scientist,42000,NL,partially_remotly,NL,L
27,2020,Senior Level,Full Time,Data Engineer,33511,MX,on_site,MX,S
28,2020,Entry Level,Contract,BI Data Analyst,100000,US,fully_remote,US,L
29,2020,Senior Level,Full Time,Machine Learning Manager,117104,CA,partially_remotly,CA,L
30,2020,Mid Level,Full Time,Data Engineering Manager,59303,DE,fully_remote,DE,S
31,2020,Entry Level,Full Time,Big Data Engineer,70000,US,fully_remote,US,L
32,2020,Senior Level,Full Time,Data Scientist,68428,GR,fully_remote,US,L
33,2020,Mid Level,Full Time,Research Scientist,450000,US,on_site,US,M
34,2020,Mid Level,Full Time,Data Analyst,46759,FR,partially_remotly,FR,L
35,2020,Mid Level,Full Time,Data Engineer,74130,AT,partially_remotly,AT,L
36,2020,Mid Level,Full Time,Data Science Consultant,103000,US,fully_remote,US,L
37,2020,Entry Level,Full Time,Machine Learning Engineer,250000,US,partially_remotly,US,L
38,2020,Entry Level,Full Time,Data Analyst,10000,NG,fully_remote,NG,S
39,2020,Entry Level,Full Time,Machine Learning Engineer,138000,US,fully_remote,US,S
40,2020,Mid Level,Full Time,Data Scientist,45760,PH,fully_remote,US,S
41,2020,Expert Level,Full Time,Data Engineering Manager,79833,ES,partially_remotly,ES,L
42,2020,Mid Level,Full Time,Machine Learning Infrastructure Engineer,50180,PT,on_site,PT,M
43,2020,Mid Level,Full Time,Data Engineer,106000,US,fully_remote,US,L
44,2020,Mid Level,Full Time,Data Engineer,112872,GB,partially_remotly,GB,L
45,2020,Entry Level,Part Time,ML Engineer,15966,DE,fully_remote,DE,S
46,2020,Mid Level,Full Time,Data Scientist,76958,GB,fully_remote,GB,S
47,2020,Senior Level,Full Time,Data Engineer,188000,US,fully_remote,US,L
48,2020,Mid Level,Full Time,Data Scientist,105000,US,fully_remote,US,L
49,2020,Mid Level,Full Time,Data Engineer,70139,FR,partially_remotly,FR,L
50,2020,Entry Level,Full Time,Data Analyst,6072,IN,on_site,IN,S
51,2020,Entry Level,Full Time,Data Analyst,91000,US,fully_remote,US,L
52,2020,Entry Level,Full Time,AI Scientist,45896,DK,partially_remotly,DK,S
53,2020,Entry Level,Full Time,Data Engineer,54742,PK,fully_remote,DE,L
54,2020,Senior Level,Freelance,Computer Vision Engineer,60000,RU,fully_remote,US,S
55,2020,Senior Level,Full Time,Principal Data Scientist,148261,DE,fully_remote,DE,M
56,2020,Mid Level,Full Time,Data Scientist,38776,ES,fully_remote,ES,M
57,2020,Mid Level,Full Time,Data Scientist,118000,US,fully_remote,US,M
58,2020,Senior Level,Full Time,Data Scientist,120000,US,partially_remotly,US,L
59,2020,Mid Level,Full Time,Data Scientist,138350,US,fully_remote,US,M
60,2020,Mid Level,Full Time,Data Engineer,110000,US,fully_remote,US,L
61,2020,Mid Level,Full Time,Data Engineer,130800,ES,fully_remote,US,M
62,2020,Entry Level,Part Time,Data Scientist,21669,IT,partially_remotly,IT,S
63,2020,Senior Level,Full Time,Data Scientist,412000,US,fully_remote,US,L
64,2020,Senior Level,Full Time,Machine Learning Engineer,45618,HR,fully_remote,HR,S
65,2020,Entry Level,Full Time,Data Scientist,62726,DE,partially_remotly,DE,S
66,2020,Entry Level,Full Time,Data Scientist,49268,DE,on_site,DE,S
67,2020,Senior Level,Full Time,Data Science Manager,190200,US,fully_remote,US,M
68,2020,Entry Level,Full Time,Data Scientist,105000,US,fully_remote,US,S
69,2020,Senior Level,Full Time,Data Scientist,91237,AT,on_site,AT,S
70,2020,Mid Level,Full Time,Data Scientist,62726,FR,partially_remotly,LU,S
71,2020,Mid Level,Full Time,Data Scientist,42197,FR,partially_remotly,FR,S
72,2021,Entry Level,Full Time,Research Scientist,82528,GB,partially_remotly,GB,L
73,2021,Expert Level,Full Time,BI Data Analyst,150000,IN,fully_remote,US,L
74,2021,Expert Level,Full Time,Head of Data,235000,US,fully_remote,US,L
75,2021,Senior Level,Full Time,Data Scientist,53192,FR,partially_remotly,FR,L
76,2021,Mid Level,Full Time,BI Data Analyst,100000,US,fully_remote,US,M
77,2021,Mid Level,Part Time,3D Computer Vision Researcher,5409,IN,partially_remotly,IN,M
78,2021,Mid Level,Contract,ML Engineer,270000,US,fully_remote,US,L
79,2021,Entry Level,Full Time,Data Analyst,80000,US,fully_remote,US,M
80,2021,Senior Level,Full Time,Data Analytics Engineer,79197,DE,fully_remote,DE,L
81,2021,Mid Level,Full Time,Data Engineer,140000,US,fully_remote,US,L
82,2021,Mid Level,Full Time,Applied Data Scientist,54238,GB,partially_remotly,CA,L
83,2021,Mid Level,Full Time,Machine Learning Engineer,47282,ES,fully_remote,ES,S
84,2021,Expert Level,Full Time,Director of Data Science,153667,IT,fully_remote,PL,L
85,2021,Mid Level,Full Time,Data Engineer,28476,PL,fully_remote,PL,L
86,2021,Entry Level,Full Time,Data Analyst,59102,FR,partially_remotly,FR,M
87,2021,Mid Level,Full Time,Data Analytics Engineer,110000,US,fully_remote,US,L
88,2021,Senior Level,Full Time,Lead Data Analyst,170000,US,fully_remote,US,L
89,2021,Senior Level,Full Time,Data Analyst,80000,BG,fully_remote,US,S
90,2021,Senior Level,Full Time,Marketing Data Analyst,88654,GR,fully_remote,DK,L
91,2021,Entry Level,Full Time,Data Science Consultant,76833,DE,fully_remote,DE,S
92,2021,Mid Level,Full Time,Lead Data Analyst,19609,IN,fully_remote,IN,L
93,2021,Senior Level,Full Time,Lead Data Engineer,276000,US,on_site,US,L
94,2021,Entry Level,Full Time,Data Scientist,29751,IN,partially_remotly,IN,L
95,2021,Mid Level,Full Time,Cloud Data Engineer,89294,SG,partially_remotly,SG,L
96,2021,Entry Level,Part Time,AI Scientist,12000,BR,fully_remote,US,S
97,2021,Mid Level,Full Time,Financial Data Analyst,450000,US,fully_remote,US,L
98,2021,Entry Level,Full Time,Computer Vision Engineer,70000,US,fully_remote,US,M
99,2021,Mid Level,Full Time,Computer Vision Engineer,95746,DE,fully_remote,US,S
100,2021,Mid Level,Full Time,Data Analyst,75000,US,on_site,US,L
101,2021,Senior Level,Full Time,Data Engineer,150000,US,fully_remote,US,L
102,2021,Mid Level,Full Time,BI Data Analyst,36259,HU,partially_remotly,US,L
103,2021,Mid Level,Full Time,Data Analyst,62000,US,on_site,US,L
104,2021,Mid Level,Full Time,Data Scientist,73000,US,on_site,US,L
105,2021,Mid Level,Full Time,Data Analyst,51519,GB,partially_remotly,GB,L
106,2021,Mid Level,Full Time,Research Scientist,187442,CA,fully_remote,CA,L
107,2021,Senior Level,Full Time,Data Engineer,115000,US,fully_remote,US,S
108,2021,Senior Level,Full Time,Data Engineer,150000,US,fully_remote,US,M
109,2021,Entry Level,Full Time,Data Engineer,30428,IN,fully_remote,IN,L
110,2021,Senior Level,Full Time,Machine Learning Engineer,94564,DE,partially_remotly,DE,L
111,2021,Senior Level,Full Time,Director of Data Engineering,113476,GB,fully_remote,GB,M
112,2021,Senior Level,Full Time,Lead Data Engineer,103160,GB,fully_remote,GB,S
113,2021,Entry Level,Part Time,AI Scientist,12000,PK,fully_remote,US,M
114,2021,Mid Level,Full Time,Data Engineer,45391,NL,fully_remote,NL,L
115,2021,Entry Level,Full Time,Machine Learning Scientist,225000,US,fully_remote,US,L
116,2021,Mid Level,Full Time,Data Scientist,50000,NG,fully_remote,NG,L
117,2021,Mid Level,Full Time,Data Science Engineer,40189,GR,fully_remote,GR,M
118,2021,Entry Level,Full Time,Data Analyst,90000,US,fully_remote,US,S
119,2021,Mid Level,Full Time,Data Engineer,200000,US,fully_remote,US,L
120,2021,Mid Level,Full Time,Big Data Engineer,60000,ES,partially_remotly,RO,M
121,2021,Senior Level,Full Time,Principal Data Engineer,200000,US,fully_remote,US,M
122,2021,Entry Level,Full Time,Data Analyst,50000,US,fully_remote,US,M
123,2021,Entry Level,Full Time,Applied Data Scientist,110037,GB,on_site,GB,L
124,2021,Entry Level,Part Time,Data Analyst,10354,ES,partially_remotly,ES,M
125,2021,Mid Level,Full Time,Principal Data Scientist,151000,US,fully_remote,US,L
126,2021,Senior Level,Full Time,Machine Learning Scientist,120000,US,partially_remotly,US,S
127,2021,Mid Level,Full Time,Data Scientist,9466,IN,on_site,IN,S
128,2021,Entry Level,Full Time,Machine Learning Engineer,20000,IN,fully_remote,IN,S
129,2021,Senior Level,Full Time,Lead Data Scientist,40570,IN,partially_remotly,IN,L
130,2021,Entry Level,Full Time,Machine Learning Developer,100000,IQ,partially_remotly,IQ,S
131,2021,Entry Level,Full Time,Data Scientist,49646,FR,partially_remotly,FR,M
132,2021,Mid Level,Full Time,Applied Machine Learning Scientist,38400,VN,fully_remote,US,M
133,2021,Senior Level,Full Time,Computer Vision Engineer,24000,BR,fully_remote,BR,M
134,2021,Entry Level,Full Time,Data Scientist,100000,US,on_site,US,S
135,2021,Mid Level,Full Time,Data Analyst,90000,US,fully_remote,US,M
136,2021,Mid Level,Full Time,ML Engineer,63711,JP,partially_remotly,JP,S
137,2021,Mid Level,Full Time,ML Engineer,77364,JP,partially_remotly,JP,S
138,2021,Senior Level,Full Time,Principal Data Scientist,220000,US,on_site,US,L
139,2021,Entry Level,Full Time,Data Scientist,80000,US,fully_remote,US,M
140,2021,Mid Level,Full Time,Data Analyst,135000,US,fully_remote,US,L
141,2021,Senior Level,Full Time,Data Science Manager,240000,US,on_site,US,L
142,2021,Senior Level,Full Time,Data Engineering Manager,150000,US,on_site,US,L
143,2021,Mid Level,Full Time,Data Scientist,82500,US,fully_remote,US,S
144,2021,Mid Level,Full Time,Data Engineer,100000,US,fully_remote,US,L
145,2021,Senior Level,Full Time,Machine Learning Engineer,82744,BE,partially_remotly,BE,M
146,2021,Mid Level,Full Time,Research Scientist,62649,FR,partially_remotly,FR,M
147,2021,Mid Level,Full Time,Data Engineer,90000,US,fully_remote,US,L
148,2021,Senior Level,Full Time,Data Engineering Manager,153000,US,fully_remote,US,L
149,2021,Senior Level,Full Time,Cloud Data Engineer,160000,BR,fully_remote,US,S
150,2021,Senior Level,Full Time,Director of Data Science,168000,JP,on_site,JP,S
151,2021,Mid Level,Full Time,Data Scientist,150000,US,fully_remote,US,M
152,2021,Mid Level,Full Time,Data Scientist,75774,CA,fully_remote,CA,L
153,2021,Entry Level,Full Time,Data Scientist,13400,UA,fully_remote,UA,L
154,2021,Senior Level,Full Time,Data Science Manager,144000,US,fully_remote,US,L
155,2021,Senior Level,Full Time,Data Science Engineer,127221,CA,partially_remotly,CA,L
156,2021,Mid Level,Full Time,Data Scientist,119059,SG,fully_remote,IL,M
157,2021,Mid Level,Full Time,Applied Machine Learning Scientist,423000,US,partially_remotly,US,L
158,2021,Senior Level,Full Time,Data Analytics Manager,120000,US,fully_remote,US,M
159,2021,Entry Level,Full Time,Machine Learning Engineer,125000,US,fully_remote,US,S
160,2021,Expert Level,Full Time,Head of Data,230000,RU,partially_remotly,RU,L
161,2021,Expert Level,Full Time,Head of Data Science,85000,RU,on_site,RU,M
162,2021,Mid Level,Full Time,Data Engineer,28369,MT,partially_remotly,MT,L
163,2021,Entry Level,Full Time,Data Science Consultant,63831,DE,partially_remotly,DE,L
164,2021,Expert Level,Full Time,Director of Data Science,130026,DE,partially_remotly,DE,M
165,2021,Senior Level,Full Time,Data Specialist,165000,US,fully_remote,US,L
166,2021,Entry Level,Full Time,Data Engineer,80000,US,fully_remote,US,L
167,2021,Expert Level,Full Time,Director of Data Science,250000,US,on_site,US,L
168,2021,Entry Level,Full Time,BI Data Analyst,55000,US,partially_remotly,US,S
169,2021,Mid Level,Full Time,Data Architect,150000,US,fully_remote,US,L
170,2021,Mid Level,Full Time,Data Architect,170000,US,fully_remote,US,L
171,2021,Mid Level,Full Time,Data Engineer,82528,GB,fully_remote,GB,L
172,2021,Entry Level,Full Time,Data Analyst,60000,US,fully_remote,US,S
173,2021,Senior Level,Full Time,Principal Data Scientist,235000,US,fully_remote,US,L
174,2021,Senior Level,Full Time,Research Scientist,60757,PT,partially_remotly,PT,L
175,2021,Senior Level,Full Time,Data Engineering Manager,174000,US,fully_remote,US,L
176,2021,Mid Level,Full Time,Data Scientist,2859,MX,on_site,MX,S
177,2021,Mid Level,Full Time,Data Scientist,40038,CL,fully_remote,CL,L
178,2021,Entry Level,Full Time,Machine Learning Engineer,81000,US,partially_remotly,US,S
179,2021,Mid Level,Full Time,Data Scientist,5679,IN,fully_remote,US,S
180,2021,Mid Level,Full Time,Big Data Engineer,22611,IN,on_site,IN,L
181,2021,Mid Level,Full Time,Data Scientist,90734,DE,partially_remotly,DE,L
182,2021,Mid Level,Full Time,Data Engineer,26005,RO,on_site,US,L
183,2021,Senior Level,Full Time,Financial Data Analyst,61896,GB,partially_remotly,GB,L
184,2021,Mid Level,Freelance,Machine Learning Scientist,12000,PK,partially_remotly,PK,M
185,2021,Mid Level,Full Time,Data Engineer,4000,IR,fully_remote,IR,M
186,2021,Senior Level,Full Time,Data Analytics Engineer,50000,VN,fully_remote,GB,M
187,2021,Expert Level,Full Time,Data Science Consultant,69741,FR,fully_remote,ES,S
188,2021,Senior Level,Full Time,Data Engineer,76833,RO,partially_remotly,GB,S
189,2021,Mid Level,Full Time,Machine Learning Engineer,74000,JP,partially_remotly,JP,S
190,2021,Senior Level,Full Time,Data Science Manager,152000,US,fully_remote,FR,L
191,2021,Entry Level,Full Time,Machine Learning Engineer,21844,CO,partially_remotly,CO,M
192,2021,Mid Level,Full Time,Big Data Engineer,18000,MD,on_site,MD,S
193,2021,Senior Level,Full Time,Data Science Manager,174000,US,fully_remote,US,L
194,2021,Senior Level,Full Time,Research Scientist,96113,CA,partially_remotly,CA,L
195,2021,Mid Level,Full Time,Data Scientist,147000,US,partially_remotly,US,L
196,2021,Entry Level,Full Time,BI Data Analyst,9272,KE,fully_remote,KE,S
197,2021,Senior Level,Full Time,Machine Learning Engineer,24342,IN,fully_remote,IN,L
198,2021,Senior Level,Full Time,Data Science Manager,54094,IN,partially_remotly,US,L
199,2021,Entry Level,Full Time,Data Science Consultant,90000,US,fully_remote,US,S
200,2021,Mid Level,Full Time,Data Scientist,61467,DE,partially_remotly,AT,M
201,2021,Senior Level,Full Time,Machine Learning Infrastructure Engineer,195000,US,fully_remote,US,M
202,2021,Mid Level,Full Time,Data Scientist,37825,ES,fully_remote,ES,L
203,2021,Senior Level,Full Time,Research Scientist,50000,FR,fully_remote,US,S
204,2021,Mid Level,Full Time,Data Scientist,160000,US,fully_remote,US,L
205,2021,Mid Level,Full Time,Data Scientist,12901,BR,on_site,BR,S
206,2021,Senior Level,Full Time,Machine Learning Engineer,200000,US,fully_remote,US,L
207,2021,Senior Level,Full Time,Data Engineer,165000,US,on_site,US,M
208,2021,Mid Level,Freelance,Data Engineer,20000,IT,on_site,US,L
209,2021,Senior Level,Full Time,Data Analytics Manager,120000,US,on_site,US,L
210,2021,Mid Level,Full Time,Machine Learning Engineer,24823,SI,partially_remotly,SI,L
211,2021,Mid Level,Full Time,Research Scientist,56738,FR,partially_remotly,FR,S
212,2021,Mid Level,Full Time,Data Engineer,66022,HK,partially_remotly,GB,S
213,2021,Entry Level,Full Time,Big Data Engineer,5882,IN,on_site,CH,L
214,2021,Entry Level,Full Time,Machine Learning Engineer,24823,DE,partially_remotly,DE,M
215,2021,Senior Level,Full Time,Principal Data Engineer,185000,US,fully_remote,US,L
216,2021,Entry Level,Part Time,Computer Vision Engineer,28609,DK,partially_remotly,DK,S
217,2021,Mid Level,Full Time,Data Scientist,90734,DE,partially_remotly,DE,L
218,2021,Mid Level,Full Time,Machine Learning Engineer,88654,BE,fully_remote,BE,M
219,2021,Senior Level,Full Time,Data Analytics Manager,140000,US,fully_remote,US,L
220,2021,Mid Level,Full Time,Machine Learning Engineer,46597,PL,fully_remote,PL,L
221,2021,Mid Level,Full Time,Data Scientist,116914,GB,partially_remotly,GB,L
222,2021,Mid Level,Full Time,Data Scientist,33808,IN,on_site,IN,M
223,2021,Mid Level,Full Time,Data Scientist,56256,GB,partially_remotly,GB,L
224,2021,Senior Level,Full Time,Machine Learning Scientist,225000,US,fully_remote,CA,L
225,2021,Expert Level,Contract,Principal Data Scientist,416000,US,fully_remote,US,S
226,2021,Senior Level,Full Time,Data Scientist,87738,CA,fully_remote,CA,S
227,2021,Mid Level,Full Time,Data Scientist,88654,DE,partially_remotly,DE,L
228,2021,Senior Level,Full Time,Data Scientist,135000,US,on_site,US,L
229,2021,Senior Level,Full Time,Data Analyst,71786,CA,fully_remote,CA,M
230,2021,Entry Level,Full Time,Big Data Engineer,16228,IN,fully_remote,IN,L
231,2021,Senior Level,Full Time,ML Engineer,256000,US,fully_remote,US,S
232,2021,Senior Level,Full Time,Director of Data Engineering,200000,US,fully_remote,US,L
233,2021,Senior Level,Full Time,Data Analyst,200000,US,fully_remote,US,L
234,2021,Mid Level,Full Time,Data Architect,180000,US,fully_remote,US,L
235,2021,Mid Level,Full Time,Head of Data Science,110000,US,on_site,US,S
236,2021,Mid Level,Full Time,Research Scientist,63810,CA,fully_remote,CA,M
237,2021,Mid Level,Full Time,Data Scientist,46809,ES,fully_remote,ES,M
238,2021,Entry Level,Full Time,Data Scientist,4000,VN,on_site,VN,M
239,2021,Entry Level,Full Time,Data Engineer,21637,IN,partially_remotly,IN,M
240,2021,Senior Level,Full Time,Data Scientist,103691,CA,fully_remote,CA,L
241,2021,Mid Level,Full Time,Data Analyst,80000,US,fully_remote,US,L
242,2021,Mid Level,Full Time,Data Engineer,110000,US,fully_remote,US,L
243,2021,Senior Level,Full Time,Data Scientist,165000,US,fully_remote,US,L
244,2021,Entry Level,Full Time,AI Scientist,18053,IN,fully_remote,AS,S
245,2021,Mid Level,Full Time,Data Engineer,72212,GB,partially_remotly,GB,L
246,2021,Entry Level,Full Time,Data Scientist,36643,FR,partially_remotly,FR,L
247,2021,Mid Level,Full Time,Data Engineer,12103,TR,on_site,TR,M
248,2021,Senior Level,Full Time,Data Engineer,96282,GB,partially_remotly,GB,L
249,2021,Senior Level,Full Time,Principal Data Analyst,170000,US,fully_remote,US,M
250,2021,Mid Level,Full Time,Data Scientist,115000,US,partially_remotly,US,L
251,2021,Entry Level,Full Time,Data Scientist,90000,US,fully_remote,US,S
252,2021,Expert Level,Full Time,Principal Data Engineer,600000,US,fully_remote,US,L
253,2021,Entry Level,Full Time,Data Scientist,28399,IN,fully_remote,IN,M
254,2021,Mid Level,Full Time,Data Analyst,93000,US,fully_remote,US,L
255,2021,Senior Level,Full Time,Big Data Architect,99703,CA,partially_remotly,CA,M
256,2021,Mid Level,Full Time,Data Engineer,200000,US,fully_remote,US,L
257,2021,Senior Level,Full Time,Principal Data Scientist,173762,DE,fully_remote,DE,M
258,2021,Senior Level,Full Time,Machine Learning Engineer,185000,US,partially_remotly,US,L
259,2021,Expert Level,Full Time,Director of Data Science,141846,DE,on_site,DE,L
260,2021,Mid Level,Full Time,Data Scientist,130000,US,partially_remotly,US,L
261,2021,Senior Level,Full Time,Data Analyst,63831,DE,partially_remotly,DE,L
262,2021,Mid Level,Full Time,Data Scientist,16904,IN,fully_remote,IN,S
263,2021,Senior Level,Full Time,Machine Learning Engineer,66265,IN,on_site,IN,L
264,2021,Mid Level,Full Time,Data Scientist,25532,RS,fully_remote,DE,S
265,2021,Senior Level,Full Time,Lead Data Engineer,160000,PR,partially_remotly,US,S
266,2021,Mid Level,Full Time,Data Engineer,93150,US,on_site,US,M
267,2021,Mid Level,Full Time,Data Engineer,111775,US,on_site,US,M
268,2021,Mid Level,Full Time,Data Engineer,28016,TR,fully_remote,TR,M
269,2021,Entry Level,Full Time,Data Engineer,65013,DE,partially_remotly,DE,M
270,2021,Entry Level,Full Time,Data Engineer,72500,US,fully_remote,US,L
271,2021,Senior Level,Full Time,Computer Vision Engineer,18907,BR,on_site,BR,M
272,2021,Entry Level,Full Time,Data Science Consultant,76833,DE,on_site,DE,L
273,2021,Entry Level,Full Time,Machine Learning Engineer,85000,NL,fully_remote,DE,S
274,2021,Senior Level,Full Time,Data Scientist,77684,FR,partially_remotly,FR,M
275,2021,Entry Level,Full Time,Data Scientist,100000,US,fully_remote,US,M
276,2021,Entry Level,Full Time,Data Scientist,58000,US,partially_remotly,US,L
277,2021,Senior Level,Full Time,AI Scientist,55000,ES,fully_remote,ES,L
278,2021,Senior Level,Full Time,Data Scientist,20171,TR,partially_remotly,TR,L
279,2021,Entry Level,Full Time,BI Data Analyst,59102,LU,fully_remote,LU,L
280,2021,Mid Level,Full Time,Data Engineer,112000,US,fully_remote,US,L
281,2021,Entry Level,Full Time,Research Scientist,100000,JE,on_site,CN,L
282,2021,Mid Level,Part Time,Data Engineer,69741,NL,fully_remote,NL,L
283,2021,Senior Level,Contract,Staff Data Scientist,105000,US,fully_remote,US,M
284,2021,Mid Level,Full Time,Research Scientist,69999,CZ,partially_remotly,CZ,L
285,2021,Senior Level,Full Time,Data Science Manager,94665,IN,partially_remotly,IN,L
286,2021,Senior Level,Full Time,Head of Data,102839,SI,fully_remote,SI,L
287,2021,Mid Level,Full Time,Data Scientist,109000,US,partially_remotly,US,L
288,2021,Mid Level,Full Time,Machine Learning Engineer,51064,IT,partially_remotly,IT,L
289,2022,Senior Level,Full Time,Data Engineer,135000,US,fully_remote,US,M
290,2022,Senior Level,Full Time,Data Analyst,155000,US,fully_remote,US,M
291,2022,Senior Level,Full Time,Data Analyst,120600,US,fully_remote,US,M
292,2022,Mid Level,Full Time,Data Scientist,130000,US,on_site,US,M
293,2022,Mid Level,Full Time,Data Scientist,90000,US,on_site,US,M
294,2022,Mid Level,Full Time,Data Engineer,170000,US,fully_remote,US,M
295,2022,Mid Level,Full Time,Data Engineer,150000,US,fully_remote,US,M
296,2022,Senior Level,Full Time,Data Analyst,102100,US,fully_remote,US,M
